,TAVG_rmse,country,state
0,0.05732164601285348,Netherlands,UNK
0,0.015486780050507954,Fiji,UNK
0,0.04093882755996348,Iran,UNK
0,0.07738304832310322,Switzerland,UNK
0,0.07717255454160397,France,UNK
0,0.05622248641148888,Kuwait,UNK
0,0.0686707819193023,Germany,UNK
0,0.0836909675459108,Poland,UNK
0,0.02043113449817954,Mauritius,UNK
0,0.0814413265708196,Reunion [France],UNK
0,0.07066906490052906,Tajikistan,UNK
0,0.021197623131325557,Gabon,UNK
0,0.09010253852918705,Austria,UNK
0,0.06102856311529369,Algeria,UNK
0,0.034109375333538854,Suriname,UNK
0,0.05909539486993639,Qatar,UNK
0,0.08181242352828413,Bosnia and Herzegovina,UNK
0,0.03306982858323039,Papua New Guinea,UNK
0,0.05567661299870906,Finland,UNK
0,0.04826731857159069,Nigeria,UNK
0,0.03562394707187234,Nicaragua,UNK
0,0.06244672664313135,Laos,UNK
0,0.03339234361488812,Burma,UNK
0,0.0281454799447361,Peru,UNK
0,0.06549687795920425,United Kingdom,UNK
0,0.07419671157847992,Western Sahara,UNK
0,0.032366940850418816,Central African Republic,UNK
0,0.0661595185156635,Nepal,UNK
0,0.09201615780877051,Hungary,UNK
0,0.06406850839121714,Falkland Islands (Islas Malvinas) [United Kingdom],UNK
0,0.07808216561006308,"Korea, North",UNK
0,0.09607548409891624,Kyrgyzstan,UNK
0,0.07766354803722764,Libya,UNK
0,0.11676063825150688,United States,AR
0,0.12534643512198906,United States,KY
0,0.07613359007388519,United States,HI
0,0.09840550930137185,United States,ID
0,0.07251760217586548,United States,MA
0,0.09440042720591353,United States,WY
0,0.08380661277273264,United States,GA
0,0.05296003649084669,United States,NJ
0,0.06319154283052161,United States,DE
0,0.07692227366861436,United States,ME
0,0.10449917982224448,United States,NC
0,0.07193910078359961,United States,PA
0,0.10644478057209611,United States,IN
0,0.09601684594267558,United States,LA
0,0.12718273651948936,United States,OK
0,0.04881582704216142,United States,RI
0,0.07442922094623332,United States,MN
0,0.13526438818768216,United States,NE
0,0.08850311212952273,United States,ND
0,0.09926883793066703,United States,AL
0,0.0429616900417131,United States,WA
0,0.17813040651541953,United States,CO
0,0.060315029453382005,United States,AK
0,0.06849523932296941,United States,CT
0,0.0985376548260092,United States,NH
0,0.10835235453490208,United States,IA
0,0.09256758199643256,United States,TX
0,0.07921391458425965,United States,MT
0,0.08241483274886467,United States,VA
0,0.0897183346877853,United States,OH
0,0.07137742220109652,United States,MI
0,0.09590761889255875,United States,MS
0,0.09445017019455348,United States,UT
0,0.05358606543005991,United States,FL
0,0.12764015693779177,United States,SD
0,0.07740876765269178,United States,CA
0,0.09198404793446976,United States,WI
0,0.06017751341802837,United States,VT
